NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system          6m13s       Warning   Unhealthy                 pod/kube-controller-manager-article3-performance-control-plane   Startup probe failed: Get "https://127.0.0.1:10257/healthz": dial tcp 127.0.0.1:10257: connect: connection refused
kube-system          11m         Warning   Unhealthy                 pod/kube-apiserver-article3-performance-control-plane            Readiness probe failed: Get "https://172.18.0.11:6443/readyz": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
kube-system          11m         Warning   Unhealthy                 pod/kube-scheduler-article3-performance-control-plane            Startup probe failed: Get "https://127.0.0.1:10259/livez": net/http: TLS handshake timeout
kube-system          10m         Warning   Unhealthy                 pod/kube-scheduler-article3-performance-control-plane            Readiness probe failed: HTTP probe failed with statuscode: 500
kube-system          10m         Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_e7e92761-0794-4f8d-93ea-63f0badb60ba became leader
default              10m         Normal    Starting                  node/article3-performance-control-plane                          
kube-system          10m         Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_b68ec26c-0670-4434-b863-16014bf0a636 became leader
kube-system          10m         Warning   FailedScheduling          pod/coredns-7d764666f9-lqg4p                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          10m         Warning   FailedScheduling          pod/coredns-7d764666f9-nqhpp                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
local-path-storage   10m         Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-dpcz4                      0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          10m         Warning   Unhealthy                 pod/kube-scheduler-article3-performance-control-plane            Liveness probe failed: Get "https://127.0.0.1:10259/livez": dial tcp 127.0.0.1:10259: connect: connection refused
kube-system          9m26s       Warning   FailedScheduling          pod/coredns-7d764666f9-lqg4p                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
local-path-storage   9m26s       Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-dpcz4                      0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          9m26s       Warning   FailedScheduling          pod/coredns-7d764666f9-nqhpp                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          9m26s       Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_4a93ce98-c84b-40f8-ad6e-c0778adfaa04 became leader
kube-system          8m53s       Warning   Unhealthy                 pod/kube-controller-manager-article3-performance-control-plane   Startup probe failed: Get "https://127.0.0.1:10257/healthz": net/http: TLS handshake timeout
kube-system          8m35s       Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_1b023fe9-41a1-4dd9-9c75-8fff45e78265 became leader
kube-system          8m17s       Warning   Unhealthy                 pod/kube-controller-manager-article3-performance-control-plane   Liveness probe failed: Get "https://127.0.0.1:10257/healthz": unexpected EOF
kube-system          7m26s       Warning   FailedScheduling          pod/coredns-7d764666f9-nqhpp                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          7m26s       Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_551de8d7-50f7-4005-a98d-037ce9981c64 became leader
kube-system          7m26s       Warning   FailedScheduling          pod/coredns-7d764666f9-lqg4p                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
local-path-storage   7m26s       Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-dpcz4                      0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          5m54s       Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_c0b79080-d737-4850-9303-b3fb5adbd69a became leader
default              5m52s       Normal    RegisteredNode            node/article3-performance-worker                                 Node article3-performance-worker event: Registered Node article3-performance-worker in Controller
default              5m52s       Normal    RegisteredNode            node/article3-performance-worker2                                Node article3-performance-worker2 event: Registered Node article3-performance-worker2 in Controller
default              5m52s       Normal    RegisteredNode            node/article3-performance-control-plane                          Node article3-performance-control-plane event: Registered Node article3-performance-control-plane in Controller
default              5m52s       Normal    RegisteredNode            node/article3-performance-worker3                                Node article3-performance-worker3 event: Registered Node article3-performance-worker3 in Controller
