NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
marketing                 7m37s       Normal    Created                   pod/content-writer-755f88f97b-27dhl                                Container created
marketing                 7m37s       Normal    Created                   pod/content-writer-755f88f97b-27dhl                                Container created
default                   7m36s       Normal    SuccessfulCreate          job/quality-eval-rh-chatbot-quality-55067fdfd1                     Created pod: quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw
default                   7m36s       Normal    SuccessfulCreate          job/quality-eval-finance-risk-assistant-quality-6ce09ddfb0         Created pod: quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p
default                   7m36s       Normal    Scheduled                 pod/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw               Successfully assigned default/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw to greenops-control-plane
default                   7m36s       Normal    Scheduled                 pod/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p   Successfully assigned default/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p to greenops-control-plane
default                   7m36s       Normal    SuccessfulCreate          job/quality-eval-marketing-content-quality-c8233ec926              Created pod: quality-eval-marketing-content-quality-c8233ec926-8c9df
default                   7m36s       Normal    Scheduled                 pod/quality-eval-legal-contract-quality-e71c6487ec-b7fx9           Successfully assigned default/quality-eval-legal-contract-quality-e71c6487ec-b7fx9 to greenops-control-plane
default                   7m36s       Normal    Scheduled                 pod/quality-eval-marketing-content-quality-c8233ec926-8c9df        Successfully assigned default/quality-eval-marketing-content-quality-c8233ec926-8c9df to greenops-control-plane
default                   7m36s       Normal    SuccessfulCreate          job/quality-eval-legal-contract-quality-e71c6487ec                 Created pod: quality-eval-legal-contract-quality-e71c6487ec-b7fx9
default                   7m35s       Normal    Created                   pod/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p   Container created
default                   7m35s       Normal    Created                   pod/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw               Container created
default                   7m35s       Normal    Pulled                    pod/quality-eval-legal-contract-quality-e71c6487ec-b7fx9           Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
default                   7m35s       Normal    Created                   pod/quality-eval-legal-contract-quality-e71c6487ec-b7fx9           Container created
default                   7m35s       Normal    Pulled                    pod/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p   Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
default                   7m35s       Warning   QualityGateEvaluated      aiqualitygate/rh-chatbot-quality                                   quality gate pending for rh/chatbot-rh: 13 missing/insufficient signal(s)
default                   7m35s       Normal    Pulled                    pod/quality-eval-marketing-content-quality-c8233ec926-8c9df        Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
default                   7m35s       Normal    Created                   pod/quality-eval-marketing-content-quality-c8233ec926-8c9df        Container created
default                   7m35s       Warning   QualityGateEvaluated      aiqualitygate/legal-contract-quality                               quality gate pending for legal/contract-review: 13 missing/insufficient signal(s)
default                   7m35s       Warning   QualityGateEvaluated      aiqualitygate/marketing-content-quality                            quality gate pending for marketing/content-writer: 13 missing/insufficient signal(s)
default                   7m35s       Normal    Pulled                    pod/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw               Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
default                   7m34s       Normal    Started                   pod/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p   Container started
default                   7m34s       Normal    Started                   pod/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw               Container started
default                   7m34s       Normal    Started                   pod/quality-eval-marketing-content-quality-c8233ec926-8c9df        Container started
