NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
default                   3m47s       Normal    Reconciled                aigateway/main-gateway                                        Governs 0 namespace(s) via aigw telemetry
rh                        3m47s       Normal    SuccessfulCreate          replicaset/chatbot-rh-5b6476cc45                              Created pod: chatbot-rh-5b6476cc45-tvvq2
rh                        3m47s       Normal    ScalingReplicaSet         deployment/chatbot-rh                                         Scaled up replica set chatbot-rh-5b6476cc45 from 0 to 1
legal                     3m47s       Normal    Scheduled                 pod/contract-review-787956-2gw29                              Successfully assigned legal/contract-review-787956-2gw29 to greenops-control-plane
finance                   3m47s       Normal    ScalingReplicaSet         deployment/risk-assistant                                     Scaled up replica set risk-assistant-659f569787 from 0 to 1
legal                     3m47s       Normal    SuccessfulCreate          replicaset/contract-review-787956                             Created pod: contract-review-787956-2gw29
rh                        3m46s       Normal    Pulling                   pod/chatbot-rh-5b6476cc45-tvvq2                               Pulling image "curlimages/curl:8.10.1"
finance                   3m45s       Normal    Pulling                   pod/risk-assistant-659f569787-dzmg2                           Pulling image "curlimages/curl:8.10.1"
legal                     3m45s       Normal    Pulling                   pod/contract-review-787956-2gw29                              Pulling image "curlimages/curl:8.10.1"
envoy-gateway-system      3m44s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Successfully pulled image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0" in 7.673s (8.679s including waiting). Image size: 35535143 bytes.
marketing                 3m44s       Normal    ScalingReplicaSet         deployment/content-writer                                     Scaled up replica set content-writer-8594bcdf64 from 0 to 1
envoy-gateway-system      3m44s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container created
marketing                 3m44s       Normal    SuccessfulCreate          replicaset/content-writer-8594bcdf64                          Created pod: content-writer-8594bcdf64-h5xkw
marketing                 3m44s       Normal    Scheduled                 pod/content-writer-8594bcdf64-h5xkw                           Successfully assigned marketing/content-writer-8594bcdf64-h5xkw to greenops-control-plane
marketing                 3m43s       Normal    Pulling                   pod/content-writer-8594bcdf64-h5xkw                           Pulling image "curlimages/curl:8.10.1"
envoy-gateway-system      3m43s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container image "docker.io/envoyproxy/envoy:distroless-v1.35.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m43s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container started
envoy-gateway-system      3m43s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m43s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container started
envoy-gateway-system      3m43s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container created
envoy-gateway-system      3m42s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container started
envoy-gateway-system      3m42s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Container created
rh                        3m36s       Normal    Pulled                    pod/chatbot-rh-5b6476cc45-tvvq2                               Successfully pulled image "curlimages/curl:8.10.1" in 7.543s (9.412s including waiting). Image size: 9414401 bytes.
rh                        3m36s       Normal    Created                   pod/chatbot-rh-5b6476cc45-tvvq2                               Container created
finance                   3m35s       Normal    Pulled                    pod/risk-assistant-659f569787-dzmg2                           Successfully pulled image "curlimages/curl:8.10.1" in 1.302s (10.163s including waiting). Image size: 9414401 bytes.
finance                   3m35s       Normal    Created                   pod/risk-assistant-659f569787-dzmg2                           Container created
rh                        3m35s       Normal    Started                   pod/chatbot-rh-5b6476cc45-tvvq2                               Container started
rh                        3m35s       Normal    Pulled                    pod/chatbot-rh-5b6476cc45-tvvq2                               Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
rh                        3m35s       Normal    Created                   pod/chatbot-rh-5b6476cc45-tvvq2                               Container created
rh                        3m35s       Normal    Started                   pod/chatbot-rh-5b6476cc45-tvvq2                               Container started
finance                   3m34s       Normal    Pulled                    pod/risk-assistant-659f569787-dzmg2                           Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
finance                   3m34s       Normal    Started                   pod/risk-assistant-659f569787-dzmg2                           Container started
finance                   3m34s       Normal    Created                   pod/risk-assistant-659f569787-dzmg2                           Container created
legal                     3m33s       Normal    Pulled                    pod/contract-review-787956-2gw29                              Successfully pulled image "curlimages/curl:8.10.1" in 1.592s (11.716s including waiting). Image size: 9414401 bytes.
finance                   3m33s       Normal    Started                   pod/risk-assistant-659f569787-dzmg2                           Container started
envoy-gateway-system      3m33s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f               Scaled down replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 1 to 0
envoy-gateway-system      3m33s       Normal    SuccessfulDelete          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5    Deleted pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd
legal                     3m33s       Normal    Created                   pod/contract-review-787956-2gw29                              Container created
envoy-gateway-system      3m33s       Normal    Killing                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Stopping container envoy
envoy-gateway-system      3m33s       Normal    Killing                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Stopping container shutdown-manager
legal                     3m32s       Normal    Started                   pod/contract-review-787956-2gw29                              Container started
legal                     3m32s       Normal    Created                   pod/contract-review-787956-2gw29                              Container created
