NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
envoy-gateway-system      3m20s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f               Scaled up replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 0 to 1
envoy-gateway-system      3m19s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Pulling image "docker.io/envoyproxy/envoy:distroless-v1.35.0"
envoy-gateway-system      3m15s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc to greenops-control-plane
envoy-gateway-system      3m15s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-866869bf86    Created pod: envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc
envoy-gateway-system      3m15s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f               Scaled up replica set envoy-default-greenops-aigw-dac3126f-866869bf86 from 0 to 1
envoy-gateway-system      3m14s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Pulling image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0"
envoy-gateway-system      3m11s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 7.759s (7.759s including waiting). Image size: 36688109 bytes.
envoy-gateway-system      3m11s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Container started
envoy-gateway-system      3m11s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Container created
envoy-gateway-system      3m11s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m11s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Container started
envoy-gateway-system      3m11s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Container created
default                   3m8s        Normal    Reconciled                aigateway/main-gateway                                        Governs 0 namespace(s) via aigw telemetry
rh                        3m7s        Normal    ScalingReplicaSet         deployment/chatbot-rh                                         Scaled up replica set chatbot-rh-69c49bd74 from 0 to 1
legal                     3m7s        Normal    Scheduled                 pod/contract-review-6b86d8598d-9bxg2                          Successfully assigned legal/contract-review-6b86d8598d-9bxg2 to greenops-control-plane
rh                        3m7s        Normal    SuccessfulCreate          replicaset/chatbot-rh-69c49bd74                               Created pod: chatbot-rh-69c49bd74-rz79l
rh                        3m7s        Normal    Pulling                   pod/chatbot-rh-69c49bd74-rz79l                                Pulling image "curlimages/curl:8.10.1"
legal                     3m7s        Normal    SuccessfulCreate          replicaset/contract-review-6b86d8598d                         Created pod: contract-review-6b86d8598d-9bxg2
finance                   3m7s        Normal    ScalingReplicaSet         deployment/risk-assistant                                     Scaled up replica set risk-assistant-c9998f54 from 0 to 1
finance                   3m7s        Normal    SuccessfulCreate          replicaset/risk-assistant-c9998f54                            Created pod: risk-assistant-c9998f54-wvcr8
finance                   3m7s        Normal    Scheduled                 pod/risk-assistant-c9998f54-wvcr8                             Successfully assigned finance/risk-assistant-c9998f54-wvcr8 to greenops-control-plane
legal                     3m7s        Normal    ScalingReplicaSet         deployment/contract-review                                    Scaled up replica set contract-review-6b86d8598d from 0 to 1
rh                        3m7s        Normal    Scheduled                 pod/chatbot-rh-69c49bd74-rz79l                                Successfully assigned rh/chatbot-rh-69c49bd74-rz79l to greenops-control-plane
finance                   3m6s        Normal    Pulling                   pod/risk-assistant-c9998f54-wvcr8                             Pulling image "curlimages/curl:8.10.1"
legal                     3m6s        Normal    Pulling                   pod/contract-review-6b86d8598d-9bxg2                          Pulling image "curlimages/curl:8.10.1"
marketing                 3m6s        Normal    ScalingReplicaSet         deployment/content-writer                                     Scaled up replica set content-writer-b7f8fbbcf from 0 to 1
marketing                 3m6s        Normal    SuccessfulCreate          replicaset/content-writer-b7f8fbbcf                           Created pod: content-writer-b7f8fbbcf-lfrfp
marketing                 3m6s        Normal    Scheduled                 pod/content-writer-b7f8fbbcf-lfrfp                            Successfully assigned marketing/content-writer-b7f8fbbcf-lfrfp to greenops-control-plane
marketing                 3m5s        Normal    Pulling                   pod/content-writer-b7f8fbbcf-lfrfp                            Pulling image "curlimages/curl:8.10.1"
envoy-gateway-system      3m2s        Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container image "docker.io/envoyproxy/envoy:distroless-v1.35.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m2s        Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container started
envoy-gateway-system      3m2s        Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container created
envoy-gateway-system      3m2s        Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Successfully pulled image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0" in 8.834s (11.54s including waiting). Image size: 35535143 bytes.
envoy-gateway-system      3m1s        Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container created
envoy-gateway-system      3m1s        Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m1s        Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container started
envoy-gateway-system      3m1s        Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container created
envoy-gateway-system      3m          Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-866869bf86-7pvmc     Container started
