NAMESPACE            LAST SEEN   TYPE      REASON                         OBJECT                                                  MESSAGE
ai-platform          2m11s       Warning   BackOff                        pod/governance-operator-694998d56f-wv9vv                Back-off restarting failed container manager in pod governance-operator-694998d56f-wv9vv_ai-platform(bc146179-08f2-4ded-a543-9f229a377fa0)
local-path-storage   37m         Warning   BackOff                        pod/local-path-provisioner-67b8995b4b-zv2qd             Back-off restarting failed container local-path-provisioner in pod local-path-provisioner-67b8995b4b-zv2qd_local-path-storage(8d4236f0-b0e1-4cde-b667-ca6c0f111d78)
ai-platform          22m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Readiness probe failed: HTTP probe failed with statuscode: 404
ai-platform          34m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Liveness probe failed: HTTP probe failed with statuscode: 404
ai-platform          22m         Warning   Unhealthy                      pod/attestation-scheduler-77cb5fd6f5-44d6r              Readiness probe failed: HTTP probe failed with statuscode: 404
ai-platform          21m         Normal    Killing                        pod/attestation-scheduler-79cf9998c8-87n5s              Container attestation-scheduler failed liveness probe, will be restarted
ai-platform          32m         Warning   Unhealthy                      pod/attestation-scheduler-77cb5fd6f5-44d6r              Liveness probe failed: HTTP probe failed with statuscode: 404
ai-platform          23m         Warning   Unhealthy                      pod/platform-api-76766bbd4f-jrrgh                       Readiness probe failed: Get "http://10.244.0.4:8083/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system          26m         Warning   Unhealthy                      pod/kube-apiserver-ai-platform-control-plane            Readiness probe failed: HTTP probe failed with statuscode: 500
ai-platform          35m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Readiness probe failed: Get "http://10.244.0.6:8087/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system          26m         Warning   Unhealthy                      pod/kube-apiserver-ai-platform-control-plane            Liveness probe failed: HTTP probe failed with statuscode: 500
ai-platform          35m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Liveness probe failed: Get "http://10.244.0.6:8087/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ai-platform          35m         Warning   Unhealthy                      pod/attestation-scheduler-77cb5fd6f5-44d6r              Liveness probe failed: Get "http://10.244.0.9:8087/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ai-platform          35m         Warning   Unhealthy                      pod/attestation-scheduler-77cb5fd6f5-44d6r              Readiness probe failed: Get "http://10.244.0.9:8087/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system          26m         Warning   Unhealthy                      pod/kube-scheduler-ai-platform-control-plane            Readiness probe failed: Get "https://127.0.0.1:10259/readyz": dial tcp 127.0.0.1:10259: connect: connection refused
ai-platform          25m         Warning   Unhealthy                      pod/key-release-gateway-65b545c5fc-ppvlj                Readiness probe failed: Get "http://10.244.0.2:8082/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system          35m         Warning   Unhealthy                      pod/kube-controller-manager-ai-platform-control-plane   Liveness probe failed: Get "https://127.0.0.1:10257/healthz": read tcp 127.0.0.1:59980->127.0.0.1:10257: read: connection reset by peer
kube-system          26m         Warning   BackOff                        pod/kube-scheduler-ai-platform-control-plane            Back-off restarting failed container kube-scheduler in pod kube-scheduler-ai-platform-control-plane_kube-system(85fce069bb4e3d90b34104fbbad8e10d)
kube-system          26m         Warning   BackOff                        pod/kube-controller-manager-ai-platform-control-plane   Back-off restarting failed container kube-controller-manager in pod kube-controller-manager-ai-platform-control-plane_kube-system(8d6a7111f646a917d8fec3d88715ee50)
