NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system          55s         Normal    SuccessfulCreate          daemonset/calico-node                                            Created pod: calico-node-c2jhk
kube-system          55s         Normal    Scheduled                 pod/calico-node-nmr4f                                            Successfully assigned kube-system/calico-node-nmr4f to article3-performance-worker2
kube-system          55s         Normal    SuccessfulCreate          daemonset/calico-node                                            Created pod: calico-node-hfqqw
kube-system          55s         Normal    SuccessfulCreate          daemonset/calico-node                                            Created pod: calico-node-nmr4f
kube-system          55s         Normal    ScalingReplicaSet         deployment/calico-kube-controllers                               Scaled up replica set calico-kube-controllers-77bdb5dddb from 0 to 1
kube-system          55s         Normal    Scheduled                 pod/calico-node-blglx                                            Successfully assigned kube-system/calico-node-blglx to article3-performance-worker
kube-system          55s         Normal    Scheduled                 pod/calico-node-c2jhk                                            Successfully assigned kube-system/calico-node-c2jhk to article3-performance-worker3
kube-system          54s         Normal    Created                   pod/calico-node-hfqqw                                            Container created
kube-system          54s         Normal    Started                   pod/calico-node-blglx                                            Container started
kube-system          54s         Normal    Created                   pod/calico-node-blglx                                            Container created
kube-system          54s         Normal    Created                   pod/calico-node-c2jhk                                            Container created
kube-system          54s         Normal    Pulled                    pod/calico-node-c2jhk                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          54s         Normal    Pulled                    pod/calico-node-blglx                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          54s         Normal    Started                   pod/calico-node-hfqqw                                            Container started
kube-system          54s         Normal    Pulled                    pod/calico-node-hfqqw                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          54s         Normal    Pulled                    pod/calico-node-nmr4f                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          54s         Normal    Created                   pod/calico-node-nmr4f                                            Container created
kube-system          54s         Normal    Started                   pod/calico-node-nmr4f                                            Container started
kube-system          54s         Normal    Started                   pod/calico-node-c2jhk                                            Container started
kube-system          52s         Normal    Created                   pod/calico-node-blglx                                            Container created
kube-system          52s         Normal    Pulled                    pod/calico-node-blglx                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          52s         Normal    Created                   pod/calico-node-c2jhk                                            Container created
kube-system          52s         Normal    Pulled                    pod/calico-node-c2jhk                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          52s         Normal    Pulled                    pod/calico-node-hfqqw                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          52s         Normal    Created                   pod/calico-node-hfqqw                                            Container created
kube-system          52s         Normal    Started                   pod/calico-node-nmr4f                                            Container started
kube-system          52s         Normal    Started                   pod/calico-node-blglx                                            Container started
kube-system          52s         Normal    Started                   pod/calico-node-c2jhk                                            Container started
kube-system          52s         Normal    Created                   pod/calico-node-nmr4f                                            Container created
kube-system          52s         Normal    Pulled                    pod/calico-node-nmr4f                                            Container image "quay.io/calico/cni@sha256:bb1567e3ed81e2e8414e9a68f186e1f7ffd4067a4871a9ae90896793af0190dd" already present on machine and can be accessed by the pod
kube-system          52s         Normal    Started                   pod/calico-node-hfqqw                                            Container started
kube-system          48s         Normal    Pulled                    pod/calico-node-blglx                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          48s         Normal    Started                   pod/calico-node-hfqqw                                            Container started
kube-system          48s         Normal    Created                   pod/calico-node-hfqqw                                            Container created
kube-system          48s         Normal    Pulled                    pod/calico-node-hfqqw                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          48s         Normal    Started                   pod/calico-node-blglx                                            Container started
kube-system          48s         Normal    Created                   pod/calico-node-blglx                                            Container created
kube-system          48s         Normal    Started                   pod/calico-node-nmr4f                                            Container started
kube-system          48s         Normal    Created                   pod/calico-node-nmr4f                                            Container created
kube-system          48s         Normal    Pulled                    pod/calico-node-nmr4f                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          47s         Normal    Created                   pod/calico-node-c2jhk                                            Container created
kube-system          47s         Normal    Pulled                    pod/calico-node-c2jhk                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          47s         Normal    Started                   pod/calico-node-c2jhk                                            Container started
kube-system          46s         Normal    Started                   pod/calico-node-nmr4f                                            Container started
kube-system          46s         Normal    Pulled                    pod/calico-node-blglx                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          46s         Normal    Created                   pod/calico-node-blglx                                            Container created
kube-system          46s         Normal    Started                   pod/calico-node-blglx                                            Container started
kube-system          46s         Normal    Pulled                    pod/calico-node-hfqqw                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          46s         Normal    Created                   pod/calico-node-hfqqw                                            Container created
kube-system          46s         Normal    Started                   pod/calico-node-hfqqw                                            Container started
kube-system          46s         Normal    Pulled                    pod/calico-node-nmr4f                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
kube-system          46s         Normal    Created                   pod/calico-node-nmr4f                                            Container created
kube-system          45s         Warning   Unhealthy                 pod/calico-node-blglx                                            Readiness probe failed: calico/node is not ready: BIRD is not ready: failed to stat() nodename file: stat /var/lib/calico/nodename: no such file or directory
kube-system          45s         Normal    Started                   pod/calico-node-c2jhk                                            Container started
kube-system          44s         Warning   Unhealthy                 pod/calico-node-nmr4f                                            Readiness probe failed: calico/node is not ready: BIRD is not ready: error querying BIRD: unable to connect to BIRDv4 socket: dial unix /var/run/bird/bird.ctl: connect: no such file or directory
kube-system          45s         Normal    Created                   pod/calico-node-c2jhk                                            Container created
kube-system          44s         Warning   Unhealthy                 pod/calico-node-hfqqw                                            Readiness probe failed: calico/node is not ready: BIRD is not ready: error querying BIRD: unable to connect to BIRDv4 socket: dial unix /var/run/bird/bird.ctl: connect: no such file or directory
kube-system          45s         Normal    Pulled                    pod/calico-node-c2jhk                                            Container image "quay.io/calico/node@sha256:7f874b3f0b540c2b523aea9961ef5e2f43b0af9056a47874c916d6cf348168d3" already present on machine and can be accessed by the pod
