NAMESPACE                 LAST SEEN   TYPE      REASON                 OBJECT                                                             MESSAGE
envoy-gateway-system      60m         Normal    Started                pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container started
envoy-gateway-system      60m         Normal    Pulled                 pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 1.468s (6.911s including waiting). Image size: 36688109 bytes.
default                   60m         Normal    Reconciled             aigateway/main-gateway                                             Governs 0 namespace(s) via aigw telemetry
envoy-gateway-system      60m         Normal    SuccessfulDelete       replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5         Deleted pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l
envoy-gateway-system      60m         Normal    ScalingReplicaSet      deployment/envoy-default-greenops-aigw-dac3126f                    Scaled down replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 1 to 0
envoy-gateway-system      60m         Normal    Killing                pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Stopping container envoy
envoy-gateway-system      60m         Normal    Killing                pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Stopping container shutdown-manager
envoy-gateway-system      60m         Warning   Unhealthy              pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Readiness probe failed: HTTP probe failed with statuscode: 503
envoy-gateway-system      60m         Warning   FailedPreStopHook      pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          PreStopHook failed
default                   60m         Normal    Scheduled              pod/quality-eval-legal-contract-quality-e71c6487ec-b7fx9           Successfully assigned default/quality-eval-legal-contract-quality-e71c6487ec-b7fx9 to greenops-control-plane
default                   60m         Normal    Scheduled              pod/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p   Successfully assigned default/quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p to greenops-control-plane
default                   60m         Normal    SuccessfulCreate       job/quality-eval-finance-risk-assistant-quality-6ce09ddfb0         Created pod: quality-eval-finance-risk-assistant-quality-6ce09ddfb0-ksc7p
default                   60m         Normal    SuccessfulCreate       job/quality-eval-legal-contract-quality-e71c6487ec                 Created pod: quality-eval-legal-contract-quality-e71c6487ec-b7fx9
default                   60m         Normal    SuccessfulCreate       job/quality-eval-rh-chatbot-quality-55067fdfd1                     Created pod: quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw
default                   60m         Normal    Scheduled              pod/quality-eval-marketing-content-quality-c8233ec926-8c9df        Successfully assigned default/quality-eval-marketing-content-quality-c8233ec926-8c9df to greenops-control-plane
default                   60m         Normal    SuccessfulCreate       job/quality-eval-marketing-content-quality-c8233ec926              Created pod: quality-eval-marketing-content-quality-c8233ec926-8c9df
default                   60m         Normal    Scheduled              pod/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw               Successfully assigned default/quality-eval-rh-chatbot-quality-55067fdfd1-pcfsw to greenops-control-plane
default                   60m         Normal    Created                pod/quality-eval-legal-contract-quality-e71c6487ec-b7fx9           Container created
default                   60m         Warning   QualityGateEvaluated   aiqualitygate/rh-chatbot-quality                                   quality gate pending for rh/chatbot-rh: 13 missing/insufficient signal(s)
