LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
96s         Normal    Scheduled           pod/key-release-gateway-74f89dd979-t26q4      Successfully assigned ai-platform/key-release-gateway-74f89dd979-t26q4 to aks-system-27413298-vmss000000
96s         Normal    SuccessfulCreate    replicaset/attestation-scheduler-5c9dcccf7c   Created pod: attestation-scheduler-5c9dcccf7c-2grb7
96s         Normal    ScalingReplicaSet   deployment/governance-operator                Scaled up replica set governance-operator-675d9d795c from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/governance-operator-675d9d795c     Created pod: governance-operator-675d9d795c-7jrlb
96s         Normal    ScalingReplicaSet   deployment/central-verifier                   Scaled up replica set central-verifier-5fb7f77cd8 from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/platform-ui-74868bffd8             Created pod: platform-ui-74868bffd8-2rddx
96s         Normal    Scheduled           pod/governance-operator-675d9d795c-7jrlb      Successfully assigned ai-platform/governance-operator-675d9d795c-7jrlb to aks-system-27413298-vmss000000
96s         Normal    ScalingReplicaSet   deployment/key-release-gateway                Scaled up replica set key-release-gateway-74f89dd979 from 0 to 1
96s         Normal    Scheduled           pod/platform-api-765d5ccf49-gfxsb             Successfully assigned ai-platform/platform-api-765d5ccf49-gfxsb to aks-system-27413298-vmss000000
96s         Normal    ScalingReplicaSet   deployment/platform-ui                        Scaled up replica set platform-ui-74868bffd8 from 0 to 1
96s         Normal    Scheduled           pod/central-verifier-5fb7f77cd8-589zw         Successfully assigned ai-platform/central-verifier-5fb7f77cd8-589zw to aks-system-27413298-vmss000000
96s         Normal    Scheduled           pod/platform-ui-74868bffd8-2rddx              Successfully assigned ai-platform/platform-ui-74868bffd8-2rddx to aks-system-27413298-vmss000000
96s         Normal    ScalingReplicaSet   deployment/platform-api                       Scaled up replica set platform-api-765d5ccf49 from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/platform-api-765d5ccf49            Created pod: platform-api-765d5ccf49-gfxsb
95s         Normal    Pulling             pod/central-verifier-5fb7f77cd8-589zw         Pulling image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/central-verifier:0.5.4"
94s         Normal    Pulling             pod/platform-ui-74868bffd8-2rddx              Pulling image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/platform-ui:0.5.4"
