timestamp,env,run_id,warmup,baseline,scheduler,node,success,admission_latency_ms,prefilter_latency_ms,filter_latency_ms,score_latency_ms,permit_wait_ms,prebind_latency_ms,bind_latency_ms,scheduler_total_latency_ms,pod_pending_duration_ms,pod_admission_to_running_ms,scheduler_cpu_millicores,scheduler_memory_mib,raw_log_path
2026-07-06T06:44:30Z,aks-real-sevsnp,B2-5,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2192,,,,,,,1183,3375,2620,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b2-005-074418.log
2026-07-06T06:44:44Z,aks-real-sevsnp,B2-6,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2256,,,,,,,1114,3370,2108,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b2-006-074431.log
2026-07-06T06:44:55Z,aks-real-sevsnp,B2-7,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2380,,,,,,,1215,3595,2166,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-007-074445.log
2026-07-06T06:45:08Z,aks-real-sevsnp,B2-8,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2872,,,,,,,1005,3877,2336,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-008-074456.log
2026-07-06T06:45:21Z,aks-real-sevsnp,B2-9,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2635,,,,,,,1125,3760,2458,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-009-074509.log
2026-07-06T06:45:33Z,aks-real-sevsnp,B2-10,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2649,,,,,,,1087,3736,2061,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-010-074522.log
2026-07-06T06:45:45Z,aks-real-sevsnp,B2-11,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2555,,,,,,,1252,3807,2567,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-011-074534.log
2026-07-06T06:45:59Z,aks-real-sevsnp,B2-12,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2263,,,,,,,1403,3666,2630,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-012-074547.log
2026-07-06T06:46:10Z,aks-real-sevsnp,B2-13,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2045,,,,,,,1108,3153,2321,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-013-074600.log
2026-07-06T06:46:24Z,aks-real-sevsnp,B2-14,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2706,,,,,,,1316,4022,2526,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-014-074611.log
2026-07-06T06:46:37Z,aks-real-sevsnp,B2-15,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2363,,,,,,,1539,3902,2879,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-015-074625.log
2026-07-06T06:46:49Z,aks-real-sevsnp,B2-16,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2475,,,,,,,1303,3778,2442,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-016-074638.log
2026-07-06T06:47:01Z,aks-real-sevsnp,B2-17,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,1970,,,,,,,1381,3351,2705,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-017-074650.log
2026-07-06T06:47:14Z,aks-real-sevsnp,B2-18,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2620,,,,,,,1195,3815,2703,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-018-074703.log
2026-07-06T06:47:26Z,aks-real-sevsnp,B2-19,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2258,,,,,,,1038,3296,2282,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-019-074715.log
2026-07-06T06:47:42Z,aks-real-sevsnp,B2-20,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2582,,,,,,,2690,5272,3812,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-020-074727.log
2026-07-06T06:47:55Z,aks-real-sevsnp,B2-21,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2726,,,,,,,1372,4098,2553,4.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-021-074743.log
2026-07-06T06:48:08Z,aks-real-sevsnp,B2-22,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2350,,,,,,,1058,3408,2400,4.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-022-074757.log
2026-07-06T06:48:21Z,aks-real-sevsnp,B2-23,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2862,,,,,,,1274,4136,2715,4.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-023-074809.log
2026-07-06T06:48:35Z,aks-real-sevsnp,B2-24,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2650,,,,,,,1331,3981,2568,4.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-024-074823.log
2026-07-06T06:48:48Z,aks-real-sevsnp,B2-25,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2089,,,,,,,1121,3210,2395,4.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-025-074836.log
2026-07-06T06:49:00Z,aks-real-sevsnp,B2-26,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2390,,,,,,,984,3374,2319,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-026-074849.log
2026-07-06T06:49:13Z,aks-real-sevsnp,B2-27,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2270,,,,,,,1056,3326,2358,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-027-074902.log
2026-07-06T06:49:25Z,aks-real-sevsnp,B2-28,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2348,,,,,,,1159,3507,2286,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-028-074914.log
2026-07-06T06:49:36Z,aks-real-sevsnp,B2-29,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2254,,,,,,,982,3236,1961,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-029-074926.log
2026-07-06T06:49:50Z,aks-real-sevsnp,B2-30,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2876,,,,,,,1632,4508,2872,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-030-074938.log
2026-07-06T06:50:02Z,aks-real-sevsnp,B2-31,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2423,,,,,,,1251,3674,2562,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-031-074951.log
2026-07-06T06:50:16Z,aks-real-sevsnp,B2-32,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,3040,,,,,,,1205,4245,2860,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b2-032-075003.log
2026-07-06T06:50:28Z,aks-real-sevsnp,B3-1,true,B3,default-scheduler,aks-system-37319869-vmss000000,success,2528,,,,,,,1098,3626,2199,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-001-075017.log
2026-07-06T06:50:42Z,aks-real-sevsnp,B3-2,true,B3,default-scheduler,aks-system-37319869-vmss000000,success,2818,,,,,,,1237,4055,2585,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-002-075029.log
2026-07-06T06:50:55Z,aks-real-sevsnp,B3-3,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2642,,,,,,,1105,3747,2220,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-003-075043.log
2026-07-06T06:51:06Z,aks-real-sevsnp,B3-4,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2162,,,,,,,1179,3341,2201,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-004-075056.log
2026-07-06T06:51:18Z,aks-real-sevsnp,B3-5,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2548,,,,,,,1226,3774,2562,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-005-075107.log
2026-07-06T06:51:30Z,aks-real-sevsnp,B3-6,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2428,,,,,,,1170,3598,2271,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-006-075119.log
2026-07-06T06:51:42Z,aks-real-sevsnp,B3-7,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2052,,,,,,,971,3023,1947,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-007-075132.log
2026-07-06T06:51:54Z,aks-real-sevsnp,B3-8,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2728,,,,,,,1012,3740,2174,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-008-075143.log
2026-07-06T06:52:08Z,aks-real-sevsnp,B3-9,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2393,,,,,,,1265,3658,2403,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-009-075156.log
2026-07-06T06:52:20Z,aks-real-sevsnp,B3-10,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2002,,,,,,,1052,3054,2186,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-010-075209.log
2026-07-06T06:52:32Z,aks-real-sevsnp,B3-11,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2770,,,,,,,1159,3929,2191,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-011-075221.log
2026-07-06T06:52:46Z,aks-real-sevsnp,B3-12,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2776,,,,,,,1222,3998,2454,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-012-075233.log
